#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2017-05-29 12:52:19"
#data_read_from_db	"2018-08-23 11:02:46"
#database_id	48
#datapoints_in_db	249345
#database_reference_id	0
#integrated_value	0.018	6.3
#sample_label	"iri_flake_paper"
#sample_name	"Iridescent_flake_paper"
#lamp	"Halogen_12V"
#beamshape	"det,f=300,a=1"
#filterlamp	"IRcutoff"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: do_meas_batch.c,v 1.34 2014/02/05 12:16:00 apian Exp apian $daq serial[0]="007" (channel minimum)|autochanger5 place=1|optfile=epfl-ultrafine|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.11 2017/05/26 15:43:23 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=4 poweron=516 [h] last_change=63 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	30	0
#intheta	30
#inphi	0
#front_integral	0.0175
#incident_and_front_integral	30	0	0.0175
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	249290
#format: theta	phi	[uA]
14.6193  176.492  0.0509359
15.0788  176.819  0.0508171
19.6785  178.097  0.0655375
17.2973  177.763  0.0648796
14.384  177.389  0.065448
13.6999  177.745  0.0625402
16.6345  177.757  0.0685783
18.9389  178.202  0.0642091
19.6859  178.206  0.0638243
14.5319  177.531  0.0628284
14.5899  177.57  0.0565021
14.9613  177.288  0.056333
15.5914  177.778  0.0550464
19.4764  178.509  0.053108
16.5344  178.222  0.0536598
26.3874  178.704  0.0689628
16.2523  177.834  0.0703376
16.9141  178.135  0.0713367
24.2772  178.812  0.0689357
20.6424  178.623  0.0578634
16.2201  177.678  0.0571776
13.6709  177.163  0.0630264
13.8523  177.412  0.0599076
25.3873  178.414  0.059862
27.3346  178.73  0.0618439
37.6608  179.19  0.0656124
38.4474  179.022  0.0672461
53.6355  179.184  0.062883
41.0828  179.154  0.0517191
35.3464  179.048  0.0492378
42.5297  179.246  0.0500768
40.9476  179.167  0.0513459
41.0058  179.181  0.0498992
55.4787  179.239  0.0518614
46.6365  179.114  0.0507101
36.6677  178.966  0.0626353
33.2185  178.692  0.0546673
31.855  179.848  0.00579844
84.4636  178.439  0.0284804
85.6686  1.63712  0.0415383
13.4411  61.0599  0.0417028
17.6906  21.1092  0.0290976
15.6738  30.9022  0.0311248
17.9344  2.52146  0.0312647
36.1986  1.39039  0.0321679
30.2259  179.386  0.0310874
25.191  179.212  0.0302438
40.7661  2.20603  0.0316288
38.7004  2.62818  0.031476
25.9058  5.36304  0.035617
27.1332  4.83774  0.0386337
36.3357  3.66799  0.0418352
33.1122  3.33159  0.0416867
27.7702  4.47498  0.0482753
28.4641  4.24033  0.0590894
31.517  3.93236  0.0564368
35.6904  2.90678  0.0779184
35.6904  2.90678  0.109789
36.2067  2.5249  0.0916392
47.6144  2.34374  0.0724829
64.146  1.76433  0.0680759
52.8742  1.67526  0.0697712
25.3521  1.74132  0.0714028
28.938  1.67463  0.0690713
13.8653  1.3038  0.0676886
72.4123  0.935168  0.0610215
82.555  1.83791  0.0574879
89.6143  175.85  0.056672
89.6629  175.882  0.0627558
83.6599  177.324  0.0626685
36.7522  178.026  0.0674877
12.5817  174.519  0.0663154
5.86187  166.888  0.0672485
13.402  173.364  0.0657704
7.68758  167.402  0.0708453
46.5827  178.559  0.0668159
20.5647  176.908  0.0625328
10.0663  173.537  0.0601519
10.1225  173.627  0.0597305
21.8415  176.934  0.0649749
13.55  174.725  0.0638177
14.7047  175.654  0.0601861
12.9648  174.863  0.062219
10.1751  173.048  0.0675384
10.097  173.308  0.0681162
14.3248  175.242  0.0682817
16.6643  176.226  0.0660586
14.4169  174.797  0.0665599
11.7341  171.934  0.0692738
11.896  172.942  0.062918
10.0051  169.802  0.0709217
19.1812  175.234  0.0713332
17.6644  175.515  0.0683008
12.9517  173.29  0.0689575
19.7871  175.022  0.0653886
21.8165  175.568  0.0609669
19.8962  176.296  0.0618724
16.9525  176.638  0.0596048
16.081  176.496  0.0562651
17.1323  176.388  0.0523634
17.1892  176.437  0.0494246
11.9448  174.615  0.0523278
16.4017  176.953  0.0538382
19.8025  177.651  0.0718531
18.4041  177.518  0.0694092
12.5874  176.105  0.0694997
15.6386  177.122  0.0688022
15.9831  177.199  0.0644718
16.441  177.476  0.0623155
18.0526  177.789  0.0639239
18.1106  177.821  0.0614978
14.2505  176.867  0.0618371
14.1681  176.47  0.0603456
16.3125  177.55  0.0555906
19.4961  178.368  0.0569771
18.2971  178.274  0.0668252
45.3798  179.015  0.0719908
23.0415  178.332  0.0691875
22.4204  178.246  0.0687391
21.1667  178.533  0.063744
16.968  177.86  0.0573772
17.026  177.895  0.0632332
16.278  177.717  0.0637502
17.8794  178.112  0.0667092
28.9441  178.702  0.0634992
25.7618  178.918  0.0673699
40.2683  179.244  0.0676446
42.4254  179.239  0.0640006
54.6781  179.289  0.0613993
43.1455  179.357  0.0599518
43.7804  179.309  0.0554481
38.9935  179.347  0.0536224
42.9506  179.361  0.0538099
43.0092  179.372  0.0554429
48.3353  179.297  0.0524447
44.6855  179.187  0.0497232
37.7046  179.053  0.0600542
27.1912  179.256  0.0284804
40.7561  179.126  0.0280883
22.3729  17.1937  0.0307259
16.7801  24.4208  0.0296791
15.0066  26.9707  0.030289
15.2756  21.2591  0.0287494
23.8602  4.9312  0.03185
16.1727  6.54322  0.0317716
28.0133  0.02032  0.0319
28.6322  4.46951  0.033576
26.1739  5.7598  0.0376217
26.1172  5.73295  0.0415637
26.8545  5.53558  0.039037
28.0382  5.08918  0.0401409
33.0707  3.47986  0.0431755
37.7436  3.67427  0.0530678
48.3328  3.44459  0.0605177
31.8585  4.00141  0.0583609
37.2052  2.74687  0.108148
37.1479  2.7308  0.0964235
53.6636  2.13974  0.0736585
74.6267  1.72199  0.0750301
68.1397  1.42519  0.0696331
37.6731  1.85509  0.0683791
21.9075  1.88009  0.0670058
22.8017  2.14756  0.0650257
24.6731  1.73713  0.0652577
17.5996  0.871147  0.0582154
14.3957  0.147743  0.0590095
87.8915  175.903  0.0586394
87.9402  175.934  0.0592272
84.4907  177.172  0.059802
67.7479  179.381  0.0587377
3.65918  154.622  0.0648799
21.8727  175.996  0.0612972
21.9701  175.27  0.060518
13.4661  173.284  0.0701816
25.8421  176.793  0.066333
20.0017  175.227  0.0632411
32.0629  177.531  0.0631451
32.1199  177.556  0.0646402
54.6418  178.267  0.062578
12.8055  174.57  0.0584978
13.4388  175.293  0.0583676
14.3746  175.285  0.0562218
11.5044  174.127  0.0634079
9.84834  172.203  0.0603724
14.5453  175.503  0.0620003
15.9573  176.063  0.0671258
15.5879  175.204  0.0723887
10.9849  169.602  0.0723634
11.8421  172.155  0.0707245
9.64412  169.431  0.0698499
25.0794  176.651  0.0700514
19.4529  176.29  0.0711157
19.9919  176.235  0.0673576
14.7179  173.338  0.0671318
25.5909  176.161  0.068644
14.2473  175.962  0.0696897
17.5402  177.119  0.065279
18.0884  177.294  0.0639993
19.6244  177.463  0.0659812
19.682  177.496  0.0671012
14.8132  176.737  0.06821
17.1219  177.656  0.0654378
19.9037  177.94  0.0693089
19.4341  177.955  0.0652447
14.647  177.487  0.0650163
12.8051  177.413  0.0602429
14.8912  177.817  0.0613188
17.2644  178.366  0.0634118
17.1097  178.178  0.0613346
17.1679  178.205  0.0661113
15.0221  177.544  0.0659025
15.2863  177.727  0.0612628
15.9167  178.455  0.0616934
19.5779  179.045  0.0626065
18.1855  178.829  0.0641253
14.648  177.852  0.0666957
35.4361  179.153  0.0671687
18.5164  178.56  0.0670676
19.5864  178.753  0.0615254
18.2313  178.489  0.057477
18.2897  178.513  0.0599244
13.2539  176.583  0.0623711
14.9291  177.516  0.0667092
24.1827  178.508  0.0668227
22.7801  178.668  0.0666769
22.7303  178.84  0.0612971
27.3583  178.936  0.0585308
43.0475  179.264  0.0555441
30.5809  179.203  0.0549924
26.4889  179.155  0.0520518
53.6875  179.541  0.0547057
39.0873  179.397  0.054007
39.1459  179.408  0.0533262
54.0918  179.421  0.0515697
39.9352  179.258  0.0511049
36.2844  179.158  0.0583665
86.7902  0.770626  0.0285784
87.3351  177.521  0.0409752
12.5101  43.3677  0.0293444
14.2884  22.4245  0.0302369
26.6306  179.655  0.0315978
27.1753  179.589  0.0337446
27.5892  5.49255  0.0453799
45.335  2.89713  0.112589
45.2783  2.87919  0.102739
62.6287  2.38629  0.0759118
70.7837  2.19691  0.0659347
67.3438  2.03352  0.0659482
60.1811  1.99333  0.0688046
36.8231  1.68902  0.0635076
30.8604  1.89019  0.0642182
24.6529  2.37032  0.0644251
20.3163  0.767394  0.0672904
65.6735  2.61138  0.0664443
18.8149  0.151722  0.0660961
18.7566  0.150988  0.0659976
80.5159  177.142  0.0637714
5.4944  158.582  0.0683905
5.66901  166.009  0.0639746
6.17038  162.497  0.0617842
8.48848  169.334  0.0645818
37.1992  177.597  0.064575
39.0396  177.895  0.0646575
11.068  172.586  0.0621129
31.9082  177.277  0.0628897
31.9648  177.304  0.0651304
25.2502  176.912  0.0586986
15.7855  175.687  0.0582666
26.651  177.482  0.0540872
16.5066  176.511  0.0557639
11.2025  173.201  0.0546024
10.2627  172.712  0.0543051
12.8696  174.555  0.0553437
16.2277  176.373  0.0647794
14.0518  174.654  0.0738459
11.4951  172.188  0.0732997
11.0363  169.748  0.0702404
12.8744  171.439  0.0679986
19.0807  175.294  0.0692627
19.3417  175.387  0.0694066
16.3863  174.722  0.0651494
12.7193  172.055  0.0664547
19.1714  175.035  0.0698254
21.0371  175.67  0.0687023
16.4821  176.163  0.0711141
16.6504  176.28  0.0657682
16.7073  176.331  0.0700559
14.5363  175.418  0.0681681
14.704  175.78  0.0698912
18.129  177.351  0.0625061
19.6755  177.667  0.0646729
20.032  177.7  0.0614835
14.0841  176.867  0.0639983
13.1738  176.211  0.0627399
15.8657  177.212  0.0656978
18.2151  178.12  0.0655164
18.3678  178.144  0.0656178
18.426  178.171  0.0631158
15.4924  177.451  0.0622818
13.4538  176.799  0.0637622
16.4314  178.115  0.0628075
19.6686  178.564  0.0651196
23.9269  178.997  0.0650058
13.1046  177.249  0.0626085
14.3254  177.558  0.0636295
17.1751  178.115  0.066281
21.3309  178.613  0.0613238
18.2289  178.263  0.0581757
18.2872  178.291  0.0563054
16.8849  178.367  0.0585733
19.3235  178.142  0.0625162
15.2247  178.168  0.0634604
22.3637  179.036  0.0617406
26.5411  179.149  0.0571919
31.7243  179.346  0.0544754
20.7195  178.831  0.0549666
24.4482  179.157  0.0524134
26.4763  179.42  0.0522435
41.0492  179.63  0.0536127
41.108  179.637  0.0527215
43.076  179.719  0.054307
52.0373  179.534  0.0494271
41.9739  179.403  0.0597563
35.252  179.297  0.0474984
22.9722  5.34744  0.0278922
79.1113  2.89347  0.039837
87.3906  177.533  0.0407543
12.665  50.4448  0.0306336
43.75  3.4976  0.0386904
60.3372  2.59178  0.110755
60.2811  2.57466  0.0973803
70.4472  2.15788  0.0716992
49.8925  2.67856  0.0651495
36.9503  2.67126  0.0642757
46.2866  1.99191  0.0720024
28.9315  2.29767  0.0709402
24.4071  2.57903  0.0685978
35.3719  1.63079  0.0682217
15.8203  2.72242  0.0642943
7.48155  90.7024  0.0643622
6.27514  25.2829  0.0669618
6.21703  25.3217  0.0670898
3.19451  154.818  0.0686589
13.3276  174.534  0.0661698
7.99895  168.608  0.0635372
8.4307  169.728  0.0625244
18.3292  175.346  0.0696127
33.4716  177.911  0.0671057
32.4504  177.74  0.0660588
13.2114  174.737  0.0653125
17.1147  175.314  0.0665279
17.1709  175.368  0.0651304
28.3312  176.753  0.0600034
22.0481  176.577  0.0593779
13.1348  175.055  0.0578482
13.432  175.243  0.0581723
12.3181  174.865  0.0533723
11.0428  173.884  0.053456
22.662  177.139  0.0590034
21.0979  176.883  0.0685029
15.2817  175.369  0.0707051
9.75889  170.348  0.0670455
11.5494  172.298  0.0655933
10.4173  169.366  0.0687781
27.2809  176.546  0.0669949
25.9092  176.44  0.0652795
21.8179  175.926  0.0600182
24.1508  176.095  0.0622148
16.8119  174.226  0.0644881
19.3947  175.551  0.0697884
18.7548  176.54  0.0692366
16.6037  176.426  0.0705967
16.6607  176.475  0.0699565
14.8098  175.592  0.071175
14.5567  175.485  0.0710778
17.7779  177.041  0.0603832
21.5787  177.778  0.0584733
20.0633  177.605  0.0613819
14.2209  176.236  0.0644055
15.6706  176.858  0.0626401
14.037  176.903  0.0672476
17.7357  177.702  0.0687278
19.397  177.786  0.0681839
19.4548  177.818  0.0671797
15.1866  177.083  0.0638105
15.2783  177.245  0.0659204
16.5471  177.759  0.0653207
18.8821  178.583  0.0680609
16.7913  178.561  0.0669116
19.0902  177.988  0.0613385
12.431  177.297  0.0608543
17.0431  177.793  0.0617271
20.5256  178.643  0.0603138
20.4528  178.727  0.0569779
20.5113  178.747  0.0581666
12.0914  177.329  0.0579574
19.3241  178.162  0.0600586
16.2727  177.795  0.0581576
24.4662  178.857  0.0583621
29.6669  179.292  0.0530866
37.115  179.405  0.0522004
22.3792  178.955  0.0549666
22.9531  179.113  0.0517191
28.8896  179.507  0.0513571
39.3183  179.646  0.0524301
39.3772  179.652  0.0521167
52.696  179.788  0.0523956
51.3754  179.676  0.0485388
35.0932  179.57  0.0571752
34.1677  179.457  0.0471001
70.6451  179.178  0.0286764
19.8211  3.11829  0.0387118
42.4815  4.38104  0.0433778
25.6112  6.74678  0.0424158
62.8365  2.40251  0.0968062
62.7802  2.38651  0.0955623
63.7753  2.47961  0.0796345
26.0045  5.42147  0.0719689
34.4853  2.92612  0.0649685
33.6909  2.77335  0.068205
35.068  1.76601  0.0697599
41.8764  2.20636  0.0723359
22.5691  2.32505  0.0684253
17.4746  3.73333  0.0642943
6.93921  40.2058  0.0642618
2.46275  34.0842  0.0673466
2.40948  34.6348  0.0656004
2.29371  135.793  0.0675853
11.577  172.303  0.0657776
11.4821  172.276  0.0615894
19.0762  175.001  0.0632102
10.5666  171.163  0.0650529
9.23995  170.725  0.0695098
10.9539  173.098  0.0667198
15.3367  174.587  0.0684093
19.9452  176.042  0.072284
20.0016  176.086  0.0671348
25.9062  176.269  0.0625097
24.9907  176.457  0.0629138
16.3063  175.418  0.062524
13.774  174.666  0.0618372
12.7311  173.592  0.0618802
11.7031  173.907  0.0592184
25.8314  177.104  0.0580076
20.5507  176.579  0.0635013
15.1106  174.365  0.0636419
10.0708  169.189  0.0635132
9.81217  170.49  0.064068
10.8287  170.423  0.0640006
25.092  176.658  0.0620769
46.676  178.154  0.0642792
40.4641  177.761  0.0565615
13.2644  173.667  0.06147
16.388  174.3  0.0600615
22.2589  176.708  0.0606683
23.902  177.25  0.0651777
18.2819  176.86  0.0704036
18.339  176.902  0.0715467
19.2647  176.448  0.0694291
15.4285  175.096  0.0705834
16.6395  176.336  0.0648313
19.1949  177.756  0.0638463
19.0736  177.325  0.062805
13.8669  175.811  0.0637948
15.3693  176.701  0.0609421
15.46  176.852  0.0659884
20.2915  178.032  0.0631272
18.5139  177.897  0.0657165
18.5719  177.928  0.0641179
16.4817  177.337  0.0626895
13.9111  177.19  0.0649
16.5368  177.803  0.0674857
20.0788  178.451  0.0669203
21.1171  178.762  0.0681814
13.0969  177.049  0.064028
18.5664  177.89  0.0633763
20.6514  178.258  0.0590044
21.8179  178.673  0.0610285
20.5477  178.801  0.059821
20.6062  178.821  0.0585733
20.0503  178.197  0.0580926
15.3712  177.863  0.053155
21.8687  178.534  0.0523888
52.37  179.665  0.0523007
51.6324  179.615  0.0501829
35.1328  179.341  0.0538819
23.2896  179.169  0.0514053
21.9772  179.259  0.0524134
27.4422  179.532  0.0507662
39.2703  179.731  0.0532185
39.2703  179.731  0.0532254
51.2576  179.842  0.0541058
48.5147  179.735  0.0494271
43.0819  179.694  0.0562817
77.71  179.029  0.0255396
24.2589  9.61018  0.0364933
19.8321  15.2629  0.041803
39.0651  2.19268  0.0383207
42.8195  3.6888  0.0311128
47.199  3.25453  0.0324565
43.171  4.32513  0.0456223
25.3575  7.10811  0.0465798
43.6898  3.50652  0.0834588
61.9073  2.53259  0.0970933
61.8512  2.51563  0.0816918
61.2891  2.78118  0.0757645
65.806  2.9133  0.0685652
42.5312  3.1575  0.066987
56.6666  2.56217  0.0638112
72.1189  1.64006  0.0688746
57.4689  2.5025  0.0660721
74.8114  2.16139  0.0649492
20.2397  6.97982  0.0669941
5.60284  11.0344  0.0672261
5.54464  11.0639  0.0662885
2.36074  30.7583  0.0646874
7.24235  170.832  0.0653371
11.6913  176.018  0.0627675
9.80813  172.423  0.0615894
5.43639  165.421  0.0609569
9.16234  172.61  0.0663891
18.4606  176.284  0.0653658
9.47583  173.407  0.0665194
11.8496  174.63  0.067122
9.79075  172.422  0.0699028
9.84626  172.529  0.0670372
15.8969  175.383  0.0640251
23.8023  176.791  0.0653701
13.2123  175.124  0.0700845
14.1755  174.957  0.0671641
11.4086  173.29  0.0676157
19.1962  175.93  0.061991
15.4052  175.607  0.0587047
13.9978  175.216  0.0648945
14.8578  174.363  0.0639373
12.5294  172.569  0.0656901
10.1225  169.346  0.064966
14.2355  171.642  0.0690655
44.6981  177.534  0.059081
52.8053  177.94  0.0533231
22.3449  175.622  0.0500156
24.1962  174.939  0.053321
15.9578  173.403  0.0511192
29.1249  176.938  0.053447
41.2739  177.849  0.060548
18.6789  175.888  0.0612153
18.7349  175.943  0.0558076
16.1019  175.016  0.0596621
18.7979  175.619  0.0574844
31.6227  177.431  0.0596099
14.9061  175.345  0.0612802
16.6356  176.493  0.0612499
13.9001  174.964  0.0614415
12.8564  175.069  0.0652711
16.623  176.643  0.0652058
20.8746  177.627  0.0626292
21.7758  177.922  0.0635089
21.8335  177.951  0.0614122
15.0379  176.497  0.0661333
13.78  175.749  0.0672237
16.2032  177.427  0.0638128
19.9294  178.422  0.0607992
18.8455  178.008  0.052117
21  177.905  0.0543657
19.6637  177.765  0.0572226
18.0274  177.749  0.0639457
29.0995  178.776  0.063581
20.2097  178.473  0.0625094
20.268  178.498  0.062679
14.5956  177.305  0.0592722
15.4547  177.869  0.0564567
41.797  179.358  0.0526873
37.4381  179.488  0.053387
37.8252  179.669  0.0587287
41.9189  179.65  0.0553516
37.3231  179.647  0.0578688
24.74  179.488  0.0564184
27.0315  179.573  0.0558796
39.2151  179.783  0.053427
39.2741  179.787  0.0532004
52.7599  179.887  0.0505975
59.027  179.745  0.0555868
44.1124  179.772  0.0485936
16.0706  20.7583  0.0388126
40.7752  4.55069  0.0395185
19.7206  15.2008  0.0410787
69.0899  4.32076  0.0288423
11.4345  63.5716  0.0278504
44.2519  2.11677  0.0379493
29.1632  4.46814  0.0310916
30.3918  4.44483  0.0317581
37.6317  4.29308  0.0310129
44.8636  3.70878  0.031861
47.999  3.3756  0.0800568
48.2274  3.36984  0.0988156
48.1715  3.34843  0.0757158
75.9692  2.71179  0.066908
53.3909  3.50789  0.063583
31.6294  4.25656  0.0587428
68.9915  2.60782  0.0631027
34.3968  3.25342  0.0652577
37.364  3.46894  0.0625386
14.7602  11.8856  0.0642432
4.65594  19.6802  0.0590306
4.59819  19.7751  0.0629572
5.27303  42.4421  0.0637378
11.7858  174.15  0.061372
32.021  178.186  0.0590571
5.15184  162.96  0.0575278
5.65222  164.055  0.0652465
11.5398  172.023  0.0648592
21.9365  176.968  0.0666228
10.7921  173.155  0.0635579
11.5605  173.721  0.0615649
13.4334  174.081  0.0632676
13.4892  174.156  0.0646753
20.3752  175.617  0.063823
10.8158  172.135  0.0623207
15.0087  175.38  0.0656033
13.0605  173.667  0.0631102
13.7393  173.303  0.0607838
18.496  175.087  0.0640823
13.0257  173.897  0.0684057
16.6524  175.758  0.0659926
12.5837  172.671  0.0648093
9.39863  168.878  0.0653828
14.5399  174.455  0.061617
27.5117  177.041  0.0608392
16.622  175.284  0.0603633
15.9062  173.687  0.0588398
12.9163  172.107  0.0635775
17.1683  175.115  0.0586958
15.8398  175.246  0.0517718
21.876  176.454  0.0570479
21.9323  176.499  0.0534214
21.4563  175.984  0.0539854
18.5857  175.328  0.0547758
29.7098  177.548  0.063123
17.5894  176.574  0.0642281
15.425  175.811  0.0648127
11.5859  174.382  0.0646377
13.5256  175.527  0.0693551
17.8817  177.059  0.0648202
21.5607  178.056  0.0651177
20.5022  177.919  0.0649195
20.5601  177.949  0.0656049
15.2703  176.748  0.0659204
11.4872  174.911  0.064818
16.8305  177.607  0.0630086
20.6042  178.401  0.0561035
20.0812  178.227  0.0514155
14.5391  176.894  0.0491859
15.5919  177.275  0.0550032
15.4332  177.851  0.0653575
26.6004  178.84  0.0676078
22.0304  178.622  0.0671043
22.0888  178.644  0.0667484
13.9936  177.176  0.0543571
12.4617  176.332  0.0564567
14.7767  177.566  0.0541803
20.4958  178.95  0.0534871
22.679  179.08  0.0587287
22.2937  179.033  0.0599716
21.8096  179.127  0.0592575
21.9333  179.433  0.0593295
26.0724  179.655  0.056668
49.0712  179.886  0.0540318
49.1302  179.888  0.0554136
46.3431  179.87  0.050403
42.6095  179.871  0.0553883
15.8242  27.9733  0.0242653
16.5716  24.0721  0.0351824
58.2545  3.27771  0.0359049
70.5201  3.36456  0.0307085
59.0456  4.28729  0.0329739
70.1252  3.60936  0.0296487
10.7149  88.1073  0.0321426
35.7532  2.36117  0.0311409
35.6958  2.34967  0.0338488
28.5203  4.87199  0.0312531
28.7228  4.68601  0.0324309
42.6309  4.28003  0.0805428
53.1664  3.28841  0.0915435
53.1664  3.28841  0.0714053
32.2878  5.31451  0.0648515
44.9729  4.02657  0.0569529
44.6875  3.22617  0.0580266
57.6847  3.27333  0.064216
52.1873  2.65551  0.0615156
14.8923  13.3986  0.0597088
12.7588  25.6685  0.055527
9.64995  4.52579  0.0528364
9.59175  4.51746  0.0553236
80.0943  1.87093  0.0622384
75.4126  179.994  0.0611694
62.3085  179.377  0.0601285
31.7236  177.772  0.0578217
9.49552  170.636  0.0666735
60.893  178.128  0.0664296
49.6551  178.62  0.0656644
62.3804  178.968  0.0609534
16.0765  176.26  0.0616989
16.6098  175.707  0.0608801
16.6664  175.758  0.0609068
19.393  175.824  0.0618025
17.9483  175.865  0.0624223
15.7826  176.39  0.0661126
15.8299  176.071  0.0624952
11.1044  172.7  0.0641774
19.7271  175.794  0.0647794
13.7715  175.095  0.0650935
17.1373  175.894  0.061279
16.5846  175.235  0.0626422
16.5846  175.235  0.061374
11.9256  171.357  0.0679809
10.2586  168.259  0.0643497
13.1942  172.537  0.0671008
17.1427  174.831  0.0651494
14.8373  173.84  0.061973
12.3847  171.837  0.0587382
14.2985  172.422  0.0619884
14.5382  173.602  0.0598099
14.8303  174.184  0.0590689
25.193  176.343  0.0569012
25.2484  176.389  0.0542895
21.6705  175.514  0.0564426
20.8194  175.333  0.0557329
37.8527  177.483  0.0614835
18.064  176.598  0.0574174
18.0777  176.387  0.0585014
13.5846  174.585  0.0634391
14.0712  174.208  0.0684812
21.1308  176.536  0.0676573
18.779  177.305  0.0664074
19.7793  177.544  0.0662032
19.8368  177.579  0.0592889
14.6413  175.69  0.0608659
13.0671  174.785  0.0614002
16.431  176.59  0.0570817
20.5  177.95  0.0588314
18.2531  177.577  0.0534008
13.4839  175.983  0.0554067
15.0021  176.316  0.0647524
16.5024  177.308  0.0698946
18.7534  178.049  0.0661446
17.6272  177.426  0.0688014
17.6847  177.468  0.0635001
14.8569  176.994  0.0531774
11.4092  176.538  0.0480523
13.2579  177.771  0.0505973
19.2071  178.847  0.0538876
21.4759  179.177  0.0593221
30.485  179.541  0.0571803
31.1454  179.693  0.0625308
19.9505  179.719  0.0588443
25.0976  179.821  0.0554853
39.283  179.956  0.0555437
39.342  179.956  0.053804
54.8114  179.982  0.0531253
59.1868  179.755  0.0560832
76.5279  178.56  0.0216186
32.2647  6.62178  0.0342749
40.5583  5.36771  0.0291871
70.0703  3.71341  0.0316065
35.3138  1.95153  0.0372385
35.2564  1.94208  0.0380178
36.5453  1.9004  0.0369595
32.1858  4.77236  0.0341437
47.5753  3.37205  0.0451802
45.0646  4.29455  0.108534
60.354  3.49265  0.0915435
60.2996  3.46911  0.0757158
34.5721  5.28268  0.0688545
33.9581  4.69306  0.0586352
38.2993  4.16666  0.057515
29.359  5.64248  0.0621919
15.778  9.12352  0.0591249
13.6283  15.242  0.0594992
9.22946  51.1817  0.0546819
8.1555  66.5234  0.0506074
5.95523  106.124  0.0479203
5.90186  105.898  0.0475882
88.8676  177.281  0.0599393
77.8825  0.350326  0.0621826
75.7199  179.685  0.0563301
57.2952  178.46  0.0585076
47.2483  178.625  0.0680009
53.0293  178.583  0.0691342
59.872  179.24  0.067735
59.368  179.28  0.0611572
36.0365  178.311  0.0603263
11.4193  173.866  0.0614794
11.4753  173.948  0.0601038
11.7124  174.532  0.0569333
14.4979  176.089  0.0640362
16.1731  176.656  0.0614701
14.9805  175.829  0.0636632
12.8303  174.467  0.0661546
13.5614  174.837  0.0600989
15.0888  175.423  0.0608143
16.0781  175.334  0.0583103
16.1342  175.394  0.0608751
11.5812  170.972  0.0717276
10.186  169.322  0.0686024
13.7732  172.693  0.06979
15.0723  173.468  0.0682575
16.4471  174.496  0.0634821
13.2966  172.599  0.0608715
11.8727  171.756  0.0621871
14.2842  173.326  0.0649751
15.4518  174.165  0.0614355
15.7435  174.659  0.0628666
15.7986  174.733  0.0571278
12.8982  173.074  0.0577969
14.3969  173.478  0.0522958
16.8972  175.695  0.0551811
20.6018  177.191  0.0562619
20.1717  176.921  0.0621407
14.2287  174.532  0.0600759
13.9821  174.377  0.0623155
14.4679  175.015  0.0626039
18.8517  177.11  0.0624028
19.787  177.515  0.0626147
19.8445  177.551  0.0560273
18.3445  176.627  0.0569353
18.1307  176.669  0.0581834
17.2514  176.883  0.0570817
19.318  177.603  0.0636417
18.3492  177.629  0.063588
15.2398  176.267  0.0621658
11.7573  175.538  0.0693107
16.0448  177.271  0.0677072
20.0025  178.26  0.0634655
18.3803  177.88  0.0616526
18.4382  177.915  0.0445268
15.6262  177.207  0.0471519
12.3331  176.049  0.0482086
14.135  177.053  0.0520026
19.4028  178.225  0.060608
25.9371  179.022  0.0560253
26.5624  179.159  0.0599518
19.7733  179.038  0.0612702
21.5771  179.661  0.0578573
26.0214  179.891  0.0547374
49.0998  179.986  0.0547094
49.1588  179.986  0.0532226
49.4428  0.016167  0.0526841
57.8528  179.877  0.0560832
21.3853  15.4253  0.023285
29.3319  7.91692  0.0330648
36.0374  2.02832  0.0370707
29.8285  4.22251  0.033677
33.2138  3.87174  0.0338559
30.3033  5.79978  0.0355332
29.5266  6.04773  0.0477761
38.6161  4.7197  0.0828756
44.3891  4.25604  0.113651
49.8621  3.72735  0.0828674
49.7519  3.67948  0.0759591
29.3377  5.63613  0.067499
35.7201  4.63597  0.0589474
23.3802  6.77856  0.058415
52.019  3.44103  0.0553098
21.6299  6.61955  0.0586052
21.7363  6.86118  0.0555166
7.56185  81.4007  0.0584233
7.61247  77.0026  0.054021
0.47519  156.304  0.0539179
0.421509  153.31  0.0495221
2.44865  10.5105  0.0585398
66.2684  179.003  0.061676
56.379  178.623  0.0617842
36.9709  177.102  0.060467
61.1501  178.592  0.0708453
53.4859  178.442  0.0714525
51.4447  178.399  0.0699042
30.0909  177.685  0.0652337
18.0935  175.523  0.0578752
10.5776  171.976  0.0589825
10.6323  172.086  0.0608064
10.0858  172.116  0.0592712
13.4396  174.395  0.0643503
14.9675  175.903  0.0605476
16.5837  176.029  0.0648972
13.6102  175.276  0.0631926
14.1401  174.428  0.0567341
